user_id,receipt_id
7,17
1,40
28,58
48,45
28,30
22,108
26,69
40,77
24,90
1,51
39,99
28,14
37,26
41,35
7,12
25,36
16,33
44,49
25,100
42,52
16,42
15,46
37,101
29,63
21,4
19,107
23,22
40,38
29,47
35,5
32,18
16,74
30,91
41,39
36,116
45,9
16,92
29,77
6,93
49,43
12,88
40,49
42,77
43,20
6,65
18,64
17,32
8,120
5,11
4,13
18,39
21,38
21,47
32,77
21,111
42,79
11,18
22,57
9,39
6,24
40,26
26,100
25,10
7,4
36,49
20,62
25,92
49,95
3,73
33,53
6,99
26,47
41,20
50,32
17,29
35,77
45,54
12,51
38,70
39,77
14,57
48,89
36,72
50,71
6,46
33,119
47,81
45,93
18,54
27,87
1,13
43,86
5,47
2,94
31,75
18,20
49,35
43,49
34,22
10,9
44,75
28,24
31,41
42,87
22,56
9,102
6,14
33,96
41,118
36,12
41,63
11,56
48,50
30,14
21,78
19,53
45,26
25,2
46,55
5,44
